,Data,X,M,other,Effect,Estimate,95_CI_Lower,95_CI_Upper
156,mesa_std,nRS,alc,race,ACME,-0.00431,-0.00838,-0.00076
157,mesa_std,nRS,alc,race,ADE,0.13292,0.02335,0.23287
158,mesa_std,nRS,alc,race,Total Effect,0.13256,0.02491,0.2315
159,mesa_std,nRS,alc,race,Prop. Mediated,-0.03248,-0.04575,-0.0192
160,mesa_std,nSES,FamIncome,site,ACME,-0.01573,-0.05524,0.02042
161,mesa_std,nSES,FamIncome,site,ADE,0.04945,-0.06658,0.17245
162,mesa_std,nSES,FamIncome,site,Total Effect,0.07335,-0.0353,0.18384
163,mesa_std,nSES,FamIncome,site,Prop. Mediated,-0.21444,-1.28107,0.60997
164,mesa_std,nSES,nutrition,site,ACME,-0.00317,-0.0088,0.00194
165,mesa_std,nSES,nutrition,site,ADE,0.06771,-0.04122,0.17915
166,mesa_std,nSES,nutrition,site,Total Effect,0.07551,-0.03236,0.18609
167,mesa_std,nSES,nutrition,site,Prop. Mediated,-0.04198,-0.08132,0.0053
168,mesa_std,nSES,PhysAct,site,ACME,-0.00867,-0.0239,0.00467
169,mesa_std,nSES,PhysAct,site,ADE,0.06643,-0.03709,0.18132
170,mesa_std,nSES,PhysAct,site,Total Effect,0.07724,-0.02649,0.19209
171,mesa_std,nSES,PhysAct,site,Prop. Mediated,-0.11222,-0.25703,0.08728
172,mesa_std,nSES,currentSmoker,site,ACME,0.00284,-0.00156,0.00847
173,mesa_std,nSES,currentSmoker,site,ADE,0.07076,-0.04171,0.18369
174,mesa_std,nSES,currentSmoker,site,Total Effect,0.07514,-0.03514,0.18868
175,mesa_std,nSES,currentSmoker,site,Prop. Mediated,0.03779,0.01312,0.06442
176,mesa_std,nSES,alc,site,ACME,-0.00559,-0.01499,0.00286
177,mesa_std,nSES,alc,site,ADE,0.07234,-0.0363,0.18736
178,mesa_std,nSES,alc,site,Total Effect,0.07358,-0.02873,0.18557
179,mesa_std,nSES,alc,site,Prop. Mediated,-0.07593,-0.14483,-0.0129
180,mesa_std,nFavFood,FamIncome,site,ACME,0.00316,-0.00423,0.01183
181,mesa_std,nFavFood,FamIncome,site,ADE,-0.05039,-0.17991,0.06335
182,mesa_std,nFavFood,FamIncome,site,Total Effect,-0.03611,-0.16315,0.07134
183,mesa_std,nFavFood,FamIncome,site,Prop. Mediated,-0.08755,-0.26879,0.13564
184,mesa_std,nFavFood,nutrition,site,ACME,-0.00074,-0.00549,0.00338
185,mesa_std,nFavFood,nutrition,site,ADE,-0.02027,-0.14006,0.09297
186,mesa_std,nFavFood,nutrition,site,Total Effect,-0.03232,-0.15401,0.08174
187,mesa_std,nFavFood,nutrition,site,Prop. Mediated,0.02297,-0.05949,0.17481
188,mesa_std,nFavFood,PhysAct,site,ACME,-0.00102,-0.00567,0.00264
189,mesa_std,nFavFood,PhysAct,site,ADE,-0.03272,-0.14529,0.08215
190,mesa_std,nFavFood,PhysAct,site,Total Effect,-0.03389,-0.14752,0.08157
191,mesa_std,nFavFood,PhysAct,site,Prop. Mediated,0.03009,0.00663,0.05586
192,mesa_std,nFavFood,currentSmoker,site,ACME,0.00015,-0.00128,0.00195
193,mesa_std,nFavFood,currentSmoker,site,ADE,-0.03329,-0.15282,0.07686
194,mesa_std,nFavFood,currentSmoker,site,Total Effect,-0.0327,-0.15095,0.07979
195,mesa_std,nFavFood,currentSmoker,site,Prop. Mediated,-0.00464,-0.02616,0.01562
196,mesa_std,nFavFood,alc,site,ACME,0.00032,-0.00096,0.00204
197,mesa_std,nFavFood,alc,site,ADE,-0.03409,-0.15351,0.07379
198,mesa_std,nFavFood,alc,site,Total Effect,-0.03395,-0.15257,0.07501
199,mesa_std,nFavFood,alc,site,Prop. Mediated,-0.00929,-0.02404,0.00477
200,mesa_std,nPhysFac,FamIncome,site,ACME,0.0016,-0.00931,0.01112
201,mesa_std,nPhysFac,FamIncome,site,ADE,0.01615,-0.08976,0.10729
202,mesa_std,nPhysFac,FamIncome,site,Total Effect,0.01109,-0.09356,0.10065
203,mesa_std,nPhysFac,FamIncome,site,Prop. Mediated,0.14469,-0.07251,0.20981
204,mesa_std,nPhysFac,nutrition,site,ACME,0.00071,-0.0044,0.0059
205,mesa_std,nPhysFac,nutrition,site,ADE,0.0152,-0.10078,0.11637
206,mesa_std,nPhysFac,nutrition,site,Total Effect,0.00333,-0.1111,0.10424
207,mesa_std,nPhysFac,nutrition,site,Prop. Mediated,0.21479,-0.20628,0.18298
208,mesa_std,nPhysFac,PhysAct,site,ACME,0.00095,-0.00755,0.00868
209,mesa_std,nPhysFac,PhysAct,site,ADE,0.01254,-0.10183,0.10978
210,mesa_std,nPhysFac,PhysAct,site,Total Effect,0.00714,-0.10762,0.10464
211,mesa_std,nPhysFac,PhysAct,site,Prop. Mediated,0.13234,-0.02022,0.18933
212,mesa_std,nPhysFac,currentSmoker,site,ACME,-0.00013,-0.00207,0.00203
213,mesa_std,nPhysFac,currentSmoker,site,ADE,0.0084,-0.10828,0.10573
214,mesa_std,nPhysFac,currentSmoker,site,Total Effect,0.00619,-0.10806,0.10146
215,mesa_std,nPhysFac,currentSmoker,site,Prop. Mediated,-0.02111,-0.04989,0.00572
216,mesa_std,nPhysFac,alc,site,ACME,0.00036,-0.00373,0.00367
217,mesa_std,nPhysFac,alc,site,ADE,0.01027,-0.10291,0.10413
218,mesa_std,nPhysFac,alc,site,Total Effect,0.0089,-0.1048,0.10236
219,mesa_std,nPhysFac,alc,site,Prop. Mediated,0.04068,0.00063,0.06464
220,mesa_std,nRS,FamIncome,site,ACME,-0.00265,-0.01267,0.00702
221,mesa_std,nRS,FamIncome,site,ADE,0.02656,-0.07492,0.12198
222,mesa_std,nRS,FamIncome,site,Total Effect,0.03388,-0.06377,0.12757
223,mesa_std,nRS,FamIncome,site,Prop. Mediated,-0.0781,-0.25216,0.06261
224,mesa_std,nRS,nutrition,site,ACME,-0.00033,-0.00212,0.00065
225,mesa_std,nRS,nutrition,site,ADE,0.03308,-0.05977,0.13193
226,mesa_std,nRS,nutrition,site,Total Effect,0.03708,-0.0533,0.13329
227,mesa_std,nRS,nutrition,site,Prop. Mediated,-0.00898,-0.02885,0.00661
228,mesa_std,nRS,PhysAct,site,ACME,-0.00055,-0.00324,0.00141
229,mesa_std,nRS,PhysAct,site,ADE,0.03279,-0.07147,0.13068
230,mesa_std,nRS,PhysAct,site,Total Effect,0.0346,-0.06901,0.13161
231,mesa_std,nRS,PhysAct,site,Prop. Mediated,-0.0158,-0.04393,0.00767
232,mesa_std,nRS,currentSmoker,site,ACME,0.00143,-0.00511,0.00711
233,mesa_std,nRS,currentSmoker,site,ADE,0.02488,-0.08124,0.12056
234,mesa_std,nRS,currentSmoker,site,Total Effect,0.03525,-0.06785,0.12903
235,mesa_std,nRS,currentSmoker,site,Prop. Mediated,0.04055,-0.15331,0.1959
236,mesa_std,nRS,alc,site,ACME,-0.00111,-0.00456,0.00222
237,mesa_std,nRS,alc,site,ADE,0.03472,-0.06585,0.13176
238,mesa_std,nRS,alc,site,Total Effect,0.03578,-0.0634,0.1319
239,mesa_std,nRS,alc,site,Prop. Mediated,-0.03115,-0.05442,-0.00626
240,mesa_std,nSES,FamIncome,,ACME,-0.01759,-0.05731,0.0196
241,mesa_std,nSES,FamIncome,,ADE,0.05538,-0.06218,0.17631
242,mesa_std,nSES,FamIncome,,Total Effect,0.07586,-0.03169,0.19146
243,mesa_std,nSES,FamIncome,,Prop. Mediated,-0.23192,-0.89587,0.87036
244,mesa_std,nSES,nutrition,,ACME,-0.00342,-0.00887,0.00157
245,mesa_std,nSES,nutrition,,ADE,0.07327,-0.03396,0.17986
246,mesa_std,nSES,nutrition,,Total Effect,0.08154,-0.0245,0.18856
247,mesa_std,nSES,nutrition,,Prop. Mediated,-0.04195,-0.09971,0.00269
248,mesa_std,nSES,PhysAct,,ACME,-0.00904,-0.02347,0.00515
249,mesa_std,nSES,PhysAct,,ADE,0.06946,-0.04176,0.18033
250,mesa_std,nSES,PhysAct,,Total Effect,0.07989,-0.03087,0.1906
251,mesa_std,nSES,PhysAct,,Prop. Mediated,-0.1132,-0.20902,0.05279
252,mesa_std,nSES,currentSmoker,,ACME,0.0029,-0.00121,0.00786
253,mesa_std,nSES,currentSmoker,,ADE,0.07261,-0.03328,0.18183
254,mesa_std,nSES,currentSmoker,,Total Effect,0.07713,-0.03079,0.18823
255,mesa_std,nSES,currentSmoker,,Prop. Mediated,0.03762,0.0094,0.0618
256,mesa_std,nSES,alc,,ACME,-0.00572,-0.0148,0.0028
257,mesa_std,nSES,alc,,ADE,0.0741,-0.03774,0.18739
258,mesa_std,nSES,alc,,Total Effect,0.07628,-0.03421,0.19154
259,mesa_std,nSES,alc,,Prop. Mediated,-0.07501,-0.13024,-0.00494
260,mesa_std,nFavFood,FamIncome,,ACME,0.00139,-0.00587,0.00942
261,mesa_std,nFavFood,FamIncome,,ADE,-0.02215,-0.14725,0.08572
262,mesa_std,nFavFood,FamIncome,,Total Effect,-0.01265,-0.13322,0.09099
263,mesa_std,nFavFood,FamIncome,,Prop. Mediated,-0.10961,-0.2435,0.14866
264,mesa_std,nFavFood,nutrition,,ACME,5e-05,-0.0044,0.00423
265,mesa_std,nFavFood,nutrition,,ADE,0.0014,-0.11402,0.10895
266,mesa_std,nFavFood,nutrition,,Total Effect,-0.0078,-0.12672,0.10039
267,mesa_std,nFavFood,nutrition,,Prop. Mediated,-0.00658,-0.03438,0.13168
268,mesa_std,nFavFood,PhysAct,,ACME,-0.00018,-0.0042,0.0038
269,mesa_std,nFavFood,PhysAct,,ADE,-0.00585,-0.12212,0.1107
270,mesa_std,nFavFood,PhysAct,,Total Effect,-0.00757,-0.12389,0.10926
271,mesa_std,nFavFood,PhysAct,,Prop. Mediated,0.02373,0.00117,0.06225
272,mesa_std,nFavFood,currentSmoker,,ACME,8e-05,-0.00119,0.00163
273,mesa_std,nFavFood,currentSmoker,,ADE,-0.01593,-0.13869,0.08973
274,mesa_std,nFavFood,currentSmoker,,Total Effect,-0.01361,-0.13179,0.0899
275,mesa_std,nFavFood,currentSmoker,,Prop. Mediated,-0.00584,-0.0249,0.01691
276,mesa_std,nFavFood,alc,,ACME,7e-05,-0.00152,0.00151
277,mesa_std,nFavFood,alc,,ADE,-0.00752,-0.11377,0.10614
278,mesa_std,nFavFood,alc,,Total Effect,-0.00691,-0.11355,0.106
279,mesa_std,nFavFood,alc,,Prop. Mediated,-0.01016,-0.02368,0.00375
280,mesa_std,nPhysFac,FamIncome,,ACME,0.00187,-0.01048,0.01267
281,mesa_std,nPhysFac,FamIncome,,ADE,0.01889,-0.10192,0.12268
282,mesa_std,nPhysFac,FamIncome,,Total Effect,0.01275,-0.10726,0.11391
283,mesa_std,nPhysFac,FamIncome,,Prop. Mediated,0.1466,-0.05256,0.26995
284,mesa_std,nPhysFac,nutrition,,ACME,0.00108,-0.00411,0.00629
285,mesa_std,nPhysFac,nutrition,,ADE,0.02271,-0.08358,0.12293
286,mesa_std,nPhysFac,nutrition,,Total Effect,0.01091,-0.09897,0.10879
287,mesa_std,nPhysFac,nutrition,,Prop. Mediated,0.09883,-0.10385,0.2028
288,mesa_std,nPhysFac,PhysAct,,ACME,0.00126,-0.0081,0.00898
289,mesa_std,nPhysFac,PhysAct,,ADE,0.01654,-0.10676,0.11425
290,mesa_std,nPhysFac,PhysAct,,Total Effect,0.01098,-0.1156,0.10957
291,mesa_std,nPhysFac,PhysAct,,Prop. Mediated,0.11431,-0.0414,0.24668
292,mesa_std,nPhysFac,currentSmoker,,ACME,-0.00019,-0.00224,0.00196
293,mesa_std,nPhysFac,currentSmoker,,ADE,0.01241,-0.11117,0.10888
294,mesa_std,nPhysFac,currentSmoker,,Total Effect,0.01074,-0.11234,0.10586
295,mesa_std,nPhysFac,currentSmoker,,Prop. Mediated,-0.01806,-0.03633,0.00464
296,mesa_std,nPhysFac,alc,,ACME,0.00056,-0.00368,0.00383
297,mesa_std,nPhysFac,alc,,ADE,0.0159,-0.099,0.1087
298,mesa_std,nPhysFac,alc,,Total Effect,0.01433,-0.10032,0.10706
299,mesa_std,nPhysFac,alc,,Prop. Mediated,0.03918,0.00872,0.05811
300,mesa_std,nRS,FamIncome,,ACME,-0.00228,-0.01198,0.0075
301,mesa_std,nRS,FamIncome,,ADE,0.02295,-0.08234,0.11697
302,mesa_std,nRS,FamIncome,,Total Effect,0.02973,-0.07175,0.12228
303,mesa_std,nRS,FamIncome,,Prop. Mediated,-0.07667,-0.25951,0.05088
304,mesa_std,nRS,nutrition,,ACME,-0.00029,-0.00193,0.00103
305,mesa_std,nRS,nutrition,,ADE,0.02728,-0.07206,0.12881
306,mesa_std,nRS,nutrition,,Total Effect,0.03087,-0.06694,0.13169
307,mesa_std,nRS,nutrition,,Prop. Mediated,-0.00928,-0.03164,0.00765
308,mesa_std,nRS,PhysAct,,ACME,-0.00045,-0.00284,0.00138
309,mesa_std,nRS,PhysAct,,ADE,0.02752,-0.06352,0.1192
310,mesa_std,nRS,PhysAct,,Total Effect,0.0293,-0.06151,0.12085
311,mesa_std,nRS,PhysAct,,Prop. Mediated,-0.0154,-0.04569,0.00812
312,mesa_std,nRS,currentSmoker,,ACME,0.001,-0.00509,0.00705
313,mesa_std,nRS,currentSmoker,,ADE,0.0172,-0.08799,0.11604
314,mesa_std,nRS,currentSmoker,,Total Effect,0.02738,-0.07282,0.12309
315,mesa_std,nRS,currentSmoker,,Prop. Mediated,0.03666,-0.07827,0.2333
316,mesa_std,nRS,alc,,ACME,-0.00086,-0.00393,0.0023
317,mesa_std,nRS,alc,,ADE,0.02701,-0.07646,0.11241
318,mesa_std,nRS,alc,,Total Effect,0.0282,-0.0781,0.11267
319,mesa_std,nRS,alc,,Prop. Mediated,-0.03057,-0.05558,-0.00587
