"Data","Y","X","mediator","b1","b1_pvalue","b1_ci_lwr","b1_ci_upr","b2","b2_pvalue","b2_ci_lwr","b2_ci_upr","b3","b3_pvalue","b3_ci_lwr","b3_ci_upr","b4","b4_pvalue","b4_ci_lwr","b4_ci_upr","b2_b4","b2_b4_ci_lwr","b2_b4_ci_upr"
"mesa","cvd_10y_noHF","nSES","PhysAct",0.24252,0.00364,0.055437480264027,0.44982616053936,-0.09958,0,-0.138551088606045,-0.070543916817005,0.23863,0.00428,0.05104625272131,0.445340795056392,-0.11139,0.14074,-0.290594550211127,0.0602046230773478,0.01109,-0.00619730014656615,0.0312229687117638
"mesa","cvd_10y_noHF","nSES","currentSmoker",0.237,0.00452,0.043646053953708,0.442972608876746,0.01852,0.11338,-0.0156277755649233,0.0496645707515925,0.23863,0.00428,0.0510462527213096,0.445340795056391,0.17707,0.05743,-0.0527407592084632,0.381142577276422,0.00328,-0.0031492848481304,0.0122952327768588
"mesa","cvd_10y_noHF","nSES","alc",0.23881,0.00424,0.0499277479263835,0.447456770248064,-0.03813,0,-0.056809206947319,-0.0139107370436688,0.23863,0.00428,0.0510462527213102,0.445340795056391,-0.01297,0.92488,-0.321267336257947,0.307148180924429,0.00049,-0.0137054556105235,0.0141004922982562
"mesa","cvd_10y_noHF","nFavFood","FamIncome",0.18355,0.06907,-1.30193958249385,0.80587687031507,-0.02446,0.02246,-0.0759622880778002,0.0173822171289802,0.188,0.06317,-1.3013796276899,0.80637811002709,0.062,0.54509,-0.350057910469925,0.376242801952213,-0.00152,-0.014885063826329,0.0112693775064268
"mesa","cvd_10y_noHF","nFavFood","nutrition",0.1775,0.07854,-1.31519489115709,0.798946975940008,0.03207,0,-0.00311802270886043,0.0741870155024747,0.188,0.06317,-1.3013796276899,0.806378110027092,-0.32214,0.03508,-1.39742086539895,0.287584339078426,-0.01033,-0.047425703044505,0.0116043894545522
"mesa","cvd_10y_noHF","nFavFood","PhysAct",0.1833,0.0669,-1.29397241248479,0.811289707677008,-0.01104,0.28463,-0.11183001367583,0.0575326502770592,0.188,0.06317,-1.30137962768989,0.806378110027092,-0.55703,0,-0.877347412312082,-0.110488566482549,0.00615,-0.0267231433056974,0.0905095968098385
"mesa","cvd_10y_noHF","nFavFood","currentSmoker",0.17442,0.08122,-1.24126038578363,0.774622461944208,-0.03274,0.00029,-0.0916356882304376,0.0376297640402615,0.188,0.06317,-1.3013796276899,0.806378110027089,0.42155,0.00014,0.087613174385643,0.828637468855628,-0.0138,-0.0489333194222886,0.0174173801482672
"mesa","cvd_10y_noHF","nFavFood","alc",0.16761,0.09546,-1.2806054319327,0.817046590639229,-0.02221,0.00018,-0.0601889467481712,0.0184590569267197,0.188,0.06317,-1.30137962768991,0.806378110027093,-0.26594,0.09304,-1.0457731387471,0.445982388166429,0.00591,-0.0144991987019388,0.039641887442697
"mesa","cvd_10y_noHF","nPhysFac","FamIncome",0.26323,0.00423,-0.316967126267472,0.635568905345587,0.09621,0,0.0209747179349916,0.13963500478629,0.26323,0.00416,-0.289533119480681,0.640866490233214,0.06532,0.45382,-0.16772153666263,0.328266664464049,0.00628,-0.0195767187109233,0.0318515333521997
"mesa","cvd_10y_noHF","nPhysFac","nutrition",0.25139,0.00584,-0.295725587415492,0.621886935149093,0.07129,0,0.0426616621346221,0.0991013330976224,0.26323,0.00416,-0.289533119480681,0.640866490233217,-0.16287,0.23842,-0.591219722297626,0.105471755498472,-0.01161,-0.0463771430278604,0.00794593418130794
"mesa","cvd_10y_noHF","nPhysFac","PhysAct",0.25811,0.0049,-0.299014609561055,0.63381407819626,0.09873,0,0.0640896445828436,0.124758558266868,0.26323,0.00416,-0.289533119480681,0.640866490233221,-0.10236,0.20216,-0.318577489868865,0.112432033345526,-0.01011,-0.0341075442509777,0.0101050654905159
"mesa","cvd_10y_noHF","nPhysFac","currentSmoker",0.26751,0.00358,-0.288032097331663,0.64664044798802,0.03965,0.00617,-0.00706585212198373,0.0681641388556451,0.26323,0.00416,-0.28953311948068,0.640866490233214,0.10455,0.28038,-0.115768433556148,0.34906937321155,0.00415,-0.00414062385497737,0.018001388726665
"mesa","cvd_10y_noHF","nPhysFac","alc",0.27176,0.00298,-0.289070349227353,0.646487784923648,0.02903,0.00194,0.00571828285540853,0.0486831406564902,0.26323,0.00416,-0.289533119480679,0.640866490233219,-0.27443,0.0562,-0.590285966248992,0.138064515491773,-0.00797,-0.0208293988582551,0.00559661081832606
"mesa","cvd_10y_noHF","nRS","FamIncome",0.26556,1e-05,0.0981494453916155,0.421229637543713,-0.02577,0.03745,-0.0688509942958414,0.0223097215414111,0.26563,1e-05,0.0961197717119725,0.420741285617911,-0.03916,0.62372,-0.170944171404518,0.132450191624038,0.00101,-0.00548579106203162,0.00817480502742652
"mesa","cvd_10y_noHF","nRS","nutrition",0.26416,1e-05,0.0979774223157181,0.425885447989304,0.01124,0.10664,-0.00944141112161982,0.0387826394600504,0.26563,1e-05,0.0961197717119727,0.420741285617909,-0.32374,0.01556,-0.605156597105822,-0.0537880223022041,-0.00364,-0.0136969888742125,0.00338653097883378
"mesa","cvd_10y_noHF","nRS","PhysAct",0.26233,1e-05,0.094517043927013,0.421277602358618,0.01631,0.14948,-0.022792049431124,0.0488909810544413,0.26563,1e-05,0.0961197717119731,0.420741285617906,-0.11349,0.12834,-0.258484528070687,0.0297615483241079,-0.00185,-0.00599124717542753,0.0045075712046564
"mesa","cvd_10y_noHF","nRS","currentSmoker",0.26191,1e-05,0.0990254394445835,0.419565904349625,0.01019,0.2982,-0.0194826064161943,0.0422995406974726,0.26563,1e-05,0.0961197717119741,0.420741285617908,0.26338,0.00397,0.0847218117115497,0.480811096984277,0.00268,-0.00562826673506089,0.014914594144407
