,Data,X,M,other,Effect,Estimate,95_CI_Lower,95_CI_Upper
264,mesa_std,nFavFood,nutrition,,ACME,-0.00065,-0.00487,0.00345
265,mesa_std,nFavFood,nutrition,,ADE,-0.01767,-0.12392,0.08448
266,mesa_std,nFavFood,nutrition,,Total Effect,-0.02642,-0.13337,0.07437
267,mesa_std,nFavFood,nutrition,,Prop. Mediated,0.02457,-0.04927,0.11336
268,mesa_std,nFavFood,PhysAct,,ACME,-0.0008,-0.00476,0.0024
269,mesa_std,nFavFood,PhysAct,,ADE,-0.02652,-0.1372,0.08096
270,mesa_std,nFavFood,PhysAct,,Total Effect,-0.02839,-0.14011,0.07979
271,mesa_std,nFavFood,PhysAct,,Prop. Mediated,0.02827,-0.00026,0.06207
272,mesa_std,nFavFood,currentSmoker,,ACME,0.00012,-0.00106,0.00154
273,mesa_std,nFavFood,currentSmoker,,ADE,-0.02861,-0.14133,0.07412
274,mesa_std,nFavFood,currentSmoker,,Total Effect,-0.02627,-0.13706,0.07288
275,mesa_std,nFavFood,currentSmoker,,Prop. Mediated,-0.00475,-0.0243,0.01768
276,mesa_std,nFavFood,alc,,ACME,0.00025,-0.00098,0.00166
277,mesa_std,nFavFood,alc,,ADE,-0.02668,-0.14638,0.07594
278,mesa_std,nFavFood,alc,,Total Effect,-0.02648,-0.14653,0.07616
279,mesa_std,nFavFood,alc,,Prop. Mediated,-0.0093,-0.02425,0.00424
280,mesa_std,nPhysFac,FamIncome,,ACME,0.00036,-0.01044,0.00968
281,mesa_std,nPhysFac,FamIncome,,ADE,0.0036,-0.10552,0.09702
282,mesa_std,nPhysFac,FamIncome,,Total Effect,-0.00022,-0.10872,0.09244
283,mesa_std,nPhysFac,FamIncome,,Prop. Mediated,-1.63199,-0.01821,0.25058
284,mesa_std,nPhysFac,nutrition,,ACME,0.00057,-0.00462,0.0056
285,mesa_std,nPhysFac,nutrition,,ADE,0.01199,-0.10164,0.11312
286,mesa_std,nPhysFac,nutrition,,Total Effect,0.0007,-0.11137,0.10015
287,mesa_std,nPhysFac,nutrition,,Prop. Mediated,0.81017,-0.17067,0.23446
288,mesa_std,nPhysFac,PhysAct,,ACME,0.00081,-0.00753,0.00799
289,mesa_std,nPhysFac,PhysAct,,ADE,0.01061,-0.0925,0.10419
290,mesa_std,nPhysFac,PhysAct,,Total Effect,0.00442,-0.10322,0.09858
291,mesa_std,nPhysFac,PhysAct,,Prop. Mediated,0.18208,-0.04257,0.25405
292,mesa_std,nPhysFac,currentSmoker,,ACME,-3e-05,-0.00187,0.00187
293,mesa_std,nPhysFac,currentSmoker,,ADE,0.00166,-0.10488,0.09894
294,mesa_std,nPhysFac,currentSmoker,,Total Effect,1e-05,-0.10462,0.09791
